Driver_ID,Age,Gender,Education_Level,Income,Joining Designation,Grade,Total Business Value,LastWorkingDate,Quarterly Rating,Dateofjoining,City,MMM-YY,Quarterly Rating Increased,Income Increased,LastWorkingDate2,Churn
1,28.0,0.0,2.0,57387.0,1.0,1.0,1715580.0,2019-11-03,2.0,2018-12-24,C23,2019-03-01,0,0,2019-11-03,1
2,31.0,0.0,2.0,67016.0,2.0,2.0,0.0,,1.0,2020-06-11,C7,2020-12-01,0,0,2020-12-29,0
4,43.0,0.0,2.0,65603.0,2.0,2.0,350000.0,2020-04-27,1.0,2019-07-12,C13,2020-04-01,0,0,2020-04-27,1
5,29.0,0.0,0.0,46368.0,1.0,1.0,120360.0,2019-07-03,1.0,2019-09-01,C9,2019-03-01,0,0,2019-07-03,1
6,31.0,1.0,1.0,78728.0,3.0,3.0,1265000.0,,2.0,2020-07-31,C11,2020-12-01,1,0,2020-12-29,0
8,34.0,0.0,0.0,70656.0,3.0,3.0,0.0,2020-11-15,1.0,2020-09-19,C2,2020-11-01,0,0,2020-11-15,1
11,28.0,1.0,2.0,42172.0,1.0,1.0,0.0,,1.0,2020-07-12,C19,2020-12-01,0,0,2020-12-29,0
12,35.0,0.0,2.0,28116.0,1.0,1.0,2607180.0,2019-12-21,1.0,2019-06-29,C23,2019-12-01,0,0,2019-12-21,1
13,31.0,0.0,2.0,119227.0,1.0,4.0,10213040.0,2020-11-25,1.0,2015-05-28,C19,2020-11-01,0,0,2020-11-25,1
14,39.0,1.0,0.0,19734.0,3.0,3.0,0.0,,1.0,2020-10-16,C26,2020-12-01,0,0,2020-12-29,0
16,30.0,1.0,0.0,52963.0,2.0,2.0,346800.0,2019-02-22,1.0,2018-11-30,C23,2019-02-01,0,0,2019-02-22,1
17,43.0,0.0,2.0,51099.0,1.0,1.0,1017640.0,2019-07-20,1.0,2018-06-03,C20,2019-07-01,0,0,2019-07-20,1
18,27.0,1.0,1.0,31631.0,1.0,1.0,0.0,2019-04-30,1.0,2019-09-01,C17,2019-05-01,0,0,2019-04-30,1
20,26.0,1.0,0.0,40342.0,3.0,3.0,0.0,2020-01-03,1.0,2019-10-25,C19,2020-03-01,0,0,2020-01-03,1
21,34.0,1.0,1.0,22755.0,1.0,1.0,6962550.0,2020-02-17,1.0,2018-12-05,C29,2020-02-01,0,0,2020-02-17,1
22,41.0,0.0,2.0,31224.0,1.0,1.0,7539490.0,2020-04-26,1.0,2018-05-25,C10,2020-04-01,0,0,2020-04-26,1
24,31.0,0.0,2.0,76308.0,1.0,2.0,4101720.0,2019-10-27,2.0,2018-05-25,C24,2019-10-01,0,0,2019-10-27,1
25,31.0,0.0,1.0,102077.0,1.0,3.0,36351110.0,,4.0,2017-10-30,C24,2020-12-01,1,0,2020-12-29,0
26,43.0,0.0,2.0,132577.0,1.0,4.0,69867900.0,,2.0,2018-07-05,C14,2020-12-01,0,1,2020-12-29,0
29,30.0,0.0,2.0,30312.0,1.0,1.0,1273170.0,2019-05-23,1.0,2018-05-20,C13,2019-05-01,0,0,2019-05-23,1
30,31.0,0.0,1.0,69457.0,3.0,3.0,0.0,2019-11-29,1.0,2019-03-10,C6,2019-12-01,0,0,2019-11-29,1
31,32.0,1.0,2.0,65189.0,3.0,3.0,950940.0,,2.0,2020-04-07,C28,2020-12-01,1,0,2020-12-29,0
34,28.0,1.0,1.0,65813.0,2.0,2.0,476010.0,2020-11-14,1.0,2020-07-31,C14,2020-11-01,0,0,2020-11-14,1
35,32.0,0.0,1.0,68070.0,3.0,3.0,300000.0,2020-05-05,1.0,2020-07-03,C5,2020-05-01,0,0,2020-05-05,1
36,41.0,1.0,1.0,32865.0,2.0,2.0,4277730.0,2020-07-29,2.0,2019-01-07,C18,2020-08-01,0,0,2020-07-29,1
37,33.0,1.0,1.0,57375.0,2.0,2.0,650020.0,2020-10-16,1.0,2020-05-16,C14,2020-10-01,0,0,2020-10-16,1
38,22.0,0.0,0.0,13427.0,1.0,1.0,0.0,2020-03-15,1.0,2019-06-12,C27,2020-03-01,0,0,2020-03-15,1
39,32.0,0.0,0.0,72888.0,2.0,2.0,2422230.0,,2.0,2020-08-08,C26,2020-12-01,0,0,2020-12-29,0
40,32.0,0.0,0.0,59182.0,2.0,2.0,0.0,2020-02-14,1.0,2019-08-11,C15,2020-02-01,0,0,2020-02-14,1
41,35.0,0.0,2.0,92372.0,4.0,4.0,21755910.0,,2.0,2019-04-07,C29,2020-12-01,1,0,2020-12-29,0
42,44.0,1.0,0.0,45988.0,2.0,2.0,994690.0,2019-05-16,1.0,2018-10-20,C28,2019-05-01,0,0,2019-05-16,1
43,27.0,1.0,0.0,12906.0,1.0,1.0,359890.0,2019-02-20,1.0,2018-07-13,C15,2019-02-01,0,0,2019-02-20,1
44,28.0,0.0,2.0,62100.0,1.0,1.0,150110.0,2020-11-24,1.0,2020-09-25,C17,2020-11-01,0,0,2020-11-24,1
45,35.0,0.0,2.0,77544.0,3.0,3.0,5227340.0,,3.0,2020-05-29,C8,2020-12-01,1,0,2020-12-29,0
46,36.0,1.0,2.0,42171.0,1.0,1.0,338290.0,2019-02-27,1.0,2018-10-28,C25,2019-03-01,0,0,2019-02-27,1
47,30.0,0.0,1.0,28000.0,1.0,1.0,866270.0,,2.0,2020-09-10,C21,2020-12-01,0,0,2020-12-29,0
49,22.0,0.0,0.0,53039.0,1.0,2.0,1798800.0,2020-01-21,1.0,2018-05-25,C20,2020-01-01,0,0,2020-01-21,1
50,49.0,1.0,0.0,89367.0,3.0,3.0,110310.0,2019-02-20,1.0,2018-11-20,C5,2019-02-01,0,0,2019-02-20,1
51,34.0,0.0,0.0,131347.0,4.0,4.0,3190010.0,2019-12-23,2.0,2017-05-22,C14,2019-12-01,1,0,2019-12-23,1
52,37.0,0.0,0.0,48687.0,3.0,3.0,1852590.0,,2.0,2020-06-28,C19,2020-12-01,1,0,2020-12-29,0
54,35.0,0.0,1.0,127826.0,4.0,5.0,33823290.0,,1.0,2019-11-07,C29,2020-12-01,0,1,2020-12-29,0
55,30.0,1.0,0.0,29985.0,1.0,1.0,0.0,2020-03-15,1.0,2019-11-21,C8,2020-03-01,0,0,2020-03-15,1
56,36.0,1.0,2.0,80223.0,1.0,1.0,11723470.0,,4.0,2018-07-20,C19,2020-12-01,1,0,2020-12-29,0
57,38.0,1.0,1.0,84318.0,1.0,2.0,22791310.0,2020-07-21,1.0,2017-07-26,C1,2020-07-01,0,0,2020-07-21,1
58,41.0,0.0,0.0,57987.0,2.0,2.0,0.0,2019-01-25,1.0,2018-10-15,C4,2019-01-01,0,0,2019-01-25,1
59,35.0,1.0,1.0,31644.0,1.0,1.0,134660.0,2019-03-28,1.0,2019-06-01,C18,2019-03-01,0,0,2019-03-28,1
60,48.0,1.0,0.0,89592.0,1.0,4.0,49225520.0,,2.0,2016-09-17,C20,2020-12-01,0,1,2020-12-29,0
61,32.0,0.0,2.0,19818.0,1.0,1.0,-439300.0,2019-03-17,1.0,2018-04-05,C11,2019-03-01,0,0,2019-03-17,1
62,27.0,0.0,2.0,62376.0,1.0,1.0,0.0,,1.0,2020-11-28,C9,2020-12-01,0,0,2020-12-29,0
63,28.0,0.0,0.0,93931.0,1.0,3.0,12293120.0,,2.0,2016-04-30,C6,2020-12-01,1,0,2020-12-29,0
64,33.0,0.0,2.0,66502.0,2.0,2.0,193940.0,2020-06-19,1.0,2020-01-31,C27,2020-06-01,0,0,2020-06-19,1
65,30.0,1.0,1.0,69539.0,2.0,2.0,11718580.0,2020-06-16,2.0,2018-07-31,C7,2020-06-01,0,0,2020-06-16,1
66,27.0,1.0,2.0,104286.0,3.0,3.0,0.0,,1.0,2020-01-21,C4,2020-02-01,0,0,2020-12-29,0
67,41.0,0.0,2.0,65982.0,1.0,2.0,12543500.0,,3.0,2019-04-01,C28,2020-12-01,1,0,2020-12-29,0
68,32.0,0.0,0.0,79288.0,1.0,3.0,27309820.0,,3.0,2015-10-18,C29,2020-12-01,0,0,2020-12-29,0
69,32.0,1.0,1.0,64604.0,2.0,2.0,4640080.0,2020-12-09,1.0,2019-11-14,C7,2020-09-01,0,0,2020-12-09,1
70,35.0,0.0,1.0,19235.0,1.0,1.0,0.0,2019-01-29,1.0,2018-08-10,C20,2019-01-01,0,0,2019-01-29,1
